1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_01770W_A	181	186	213	79	134	152	221	246	181	121	129	199	260	248	138	112	134	133
C1_01780C_A	1101	2518	4794	11622	986	1232	2010	1692	3151	15546	1107	1294	1390	1162	5122	15128	1195	964
C1_01790W_A	1836	5939	1343	1498	461	455	3528	3760	909	2219	342	522	1811	2459	1204	1623	558	573
C1_01800W_A	436	676	457	408	210	345	596	582	391	421	211	429	482	512	290	463	205	312
C1_01810C_A	375	272	601	225	476	253	351	414	465	505	388	380	1238	872	595	329	589	222
C1_01820C_A	388	677	461	463	254	316	528	606	408	464	171	349	529	455	353	520	181	297
C1_01830C_A	547	653	1668	2296	601	253	768	1193	1384	2313	483	435	876	884	1791	2053	613	316
C1_01840C_A	400	286	595	1195	90	93	343	748	446	1200	121	132	542	491	537	1070	177	75
C1_01850C_A	395	695	460	709	199	239	596	674	479	830	230	353	582	471	447	797	242	268
C1_01860W_A	1505	3202	1409	1965	730	1002	2466	2140	1180	2263	537	1134	1835	1701	1180	2149	575	810
C1_01870C_A	3723	10425	2606	1780	2128	3842	6497	6899	2175	2722	3080	4722	4536	4049	2107	2650	3091	3889
C1_01880C_A	307	465	449	548	172	175	374	518	362	602	100	180	399	374	462	451	157	143
C1_01890C_A	892	1772	2656	4358	828	340	1521	2080	2177	5438	592	587	1239	1366	3131	5424	918	447
C1_01900C_A	623	966	423	419	248	311	763	965	343	529	196	360	883	864	358	407	246	341
C1_01910W_A	754	2787	486	536	299	1065	1335	2223	532	806	534	1094	1540	1403	426	648	334	1252
C1_01920W_A	640	1817	1074	4707	169	364	1467	976	970	6290	203	361	1443	852	1173	4867	223	386
C1_01930W_A	1729	1116	3407	1356	1968	509	2730	969	3249	1760	1592	920	3410	1241	3237	1790	2301	576
C1_01940C_A	651	1033	506	706	279	366	853	1330	512	676	312	447	918	905	394	812	246	384
C1_01950C_A	593	834	655	759	236	356	657	1185	693	821	320	481	665	705	573	828	244	370
C1_01970W_A	0	0	2	3	0	0	0	0	0	0	0	0	2	0	0	4	0	0
C1_01980W_A	22975	15647	41973	82955	3972	3262	16949	41823	32559	75570	2111	2089	11181	17612	29565	77299	3103	1134
C1_01990W_A	1	8	88	492	0	5	6	9	58	988	2	3	17	74	220	726	1	2
C1_02000W_A	879	1083	1147	809	503	480	1212	1309	1005	887	683	729	1072	979	1122	849	624	589
C1_02010C_A	344	306	431	282	143	109	341	575	320	442	85	157	412	375	446	256	118	119
C1_02020W_A	168	199	181	96	83	115	190	218	167	127	79	153	190	182	148	118	86	115
C1_02030C_A	79	197	111	145	24	79	110	191	83	219	24	72	158	147	93	166	43	71
C1_02040C_A	613	907	647	1425	133	353	496	2382	454	1482	138	391	951	1593	569	1297	181	373
C1_02050C_A	2587	6571	2110	2214	869	1045	4133	5542	1781	3367	977	1794	2914	3222	2089	3166	1138	1515
C1_02060W_A	500	312	592	248	292	231	458	772	579	283	347	340	735	683	465	357	322	273
C1_02070W_A	8	14	327	656	3	2	11	20	334	493	4	3	13	34	397	541	3	6
C1_02080W_A	141	938	67	281	174	411	413	469	69	518	190	405	411	442	79	529	164	385
C1_02090C_A	275	756	392	315	150	279	473	502	341	464	134	261	396	426	353	364	160	232
C1_02100W_A	210	329	315	112	152	114	391	113	280	101	124	181	102	67	153	126	145	102
C1_02110C_A	556	548	1441	3909	123	56	359	1743	1135	3360	60	32	336	1515	1100	3814	77	24
C1_02120C_A	8679	10864	7977	28419	860	348	7391	21459	7920	30564	912	2245	5433	7209	9093	29222	1761	1410
