1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
CR_00830W_A	38	82	38	43	13	26	73	76	41	63	25	34	60	51	32	49	25	18
CR_00840C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR_00850C_A	885	1009	646	293	310	340	1002	1080	482	440	219	451	1021	1083	736	323	369	356
CR_00860C_A	41234	59262	5837	6825	8335	18001	46705	70589	6065	8498	12806	21422	50898	45888	5695	8642	8435	17774
CR_00870C_A	243	269	138	131	101	90	276	270	124	145	133	114	215	158	137	123	92	92
CR_00880W_A	357	447	368	231	159	120	517	322	218	239	166	169	268	205	266	190	197	128
CR_00890C_A	294	456	218	150	167	174	395	389	226	161	165	247	374	352	200	138	160	201
CR_00900W_A	638	1994	615	535	569	978	1032	1217	584	722	550	1006	951	1165	538	779	457	856
CR_00910W_A	12330	12077	7994	3832	9779	11714	17723	10488	6772	3407	12254	15603	19441	14225	4719	5066	10858	12153
CR_00920W_A	66	169	100	57	28	27	159	83	54	47	22	44	39	58	56	39	52	34
CR_00930W_A	13	10	86	73	1	2	9	10	49	79	1	2	6	2	85	52	4	1
CR_00970W_A	32	16	24	23	6	7	29	17	18	49	7	9	24	20	21	21	8	1
CR_00980C_A	1997	3208	2616	3260	820	810	2374	3649	1922	4275	573	1005	2664	2729	2784	3121	960	785
CR_00990W_A	1277	1057	484	369	376	308	1302	1192	469	437	348	495	817	602	426	485	302	371
CR_01000C_A	2786	4365	3798	6059	1321	1431	5259	2706	2781	9217	1037	1409	3982	2463	3580	7613	1325	1082
CR_01010W_A	240	287	470	292	210	125	441	141	455	342	195	133	261	107	385	410	198	100
CR_01020C_A	324	488	354	266	236	259	535	502	302	335	234	371	491	325	290	308	296	262
CR_01030W_A	437	946	641	1143	214	283	833	735	495	1673	149	307	666	757	669	1439	218	267
CR_01040C_A	473	554	273	243	242	230	525	688	223	268	228	322	564	494	241	279	214	243
CR_01050C_A	1086	1413	615	981	390	515	1273	2150	647	1035	345	623	1696	1476	481	939	385	482
CR_01060W_A	2021	4778	1484	1521	493	862	3975	2728	1473	1671	735	1333	1777	2030	1229	1510	588	1119
CR_01070W_A	258	517	351	241	140	135	410	267	292	225	82	204	190	216	212	285	121	149
CR_01080W_A	2099	2043	677	425	634	574	2333	2174	462	693	365	816	1885	1547	783	490	673	587
CR_01090W_A	335	379	562	570	200	131	462	501	345	790	149	195	470	420	582	753	244	159
CR_01100C_A	394	774	281	298	137	182	516	789	207	366	119	237	580	722	245	310	115	173
CR_01110W_A	3726	6442	2694	4485	1702	2162	5125	6504	2462	4822	1506	2982	5199	4800	2447	4310	2070	1941
CR_01120C_A	961	1543	1046	1075	461	442	1332	1304	1058	1111	502	626	1053	1027	978	1216	487	461
CR_01130W_A	939	1728	644	547	420	432	1155	1568	430	876	219	481	1411	1529	806	502	461	362
CR_01140C_A	1154	2484	655	440	535	602	1872	1950	579	449	465	1012	1202	1166	553	424	551	704
CR_01150C_A	1117	3765	627	237	374	339	2411	1739	445	305	385	431	763	1003	496	273	444	343
CR_01160W_A	16	13	25	11	2	12	12	33	16	5	15	7	18	14	13	10	7	10
CR_01170W_A	2469	3278	1676	1503	824	825	2908	4034	1048	2037	634	1049	2814	2573	1752	1276	1069	880
CR_01180W_A	854	1031	449	223	423	438	953	1203	421	246	481	529	869	809	354	305	412	439
CR_01190C_A	173	132	131	192	55	58	186	175	160	152	46	80	162	120	152	197	49	75
CR_01200W_A	69	65	46	22	9	6	64	142	47	57	4	13	175	188	54	22	9	17
CR_01210C_A	769	988	1065	1578	444	282	1023	1405	863	1551	435	471	975	843	1038	1454	631	331
CR_01220W_A	5	2	34	37	0	2	3	8	32	73	1	1	1	3	47	26	0	0
CR_01230C_A	299	647	510	437	185	173	598	443	325	565	78	225	346	374	426	399	188	144
CR_01240C_A	2587	4766	3267	5259	586	815	3626	3919	2181	7205	285	859	2953	2890	3677	4914	670	701
CR_01250C_A	1	2	2	1	0	0	5	1	3	4	1	0	0	2	3	2	0	0
CR_01260W_A	971	3846	794	1042	267	381	1967	2345	648	1603	228	457	1344	1714	1001	1134	329	434
CR_01270C_A	1000	1884	1363	2308	382	687	1332	1757	1217	2693	361	697	1255	1239	1244	2392	462	526
CR_01280C_A	530	592	1197	561	527	254	668	715	802	786	426	344	1222	722	1107	770	597	226
CR_01290C_A	4196	4503	2211	1048	1336	1356	4709	4343	1676	1372	1230	1845	4710	3612	1776	1011	1404	1448
CR_01300W_A	1062	2362	897	1124	158	909	1109	3109	867	1030	231	574	1494	2277	719	979	122	830
CR_01310W_A	9911	19341	6241	4678	6066	4754	12911	17669	4972	5922	6179	5639	11774	13084	6355	5899	5744	4886
CR_01320C_A	1023	2049	970	824	480	767	1230	4206	700	1367	408	1008	1703	1937	990	869	653	942
CR_01330W_A	218	813	1295	4028	668	338	544	902	1296	6737	702	564	637	591	2078	5927	1092	501
CR_01340W_A	25	44	21	34	9	6	27	42	19	47	6	9	21	33	48	51	7	10
CR_01350C_A	1424	2127	1283	1264	871	792	2017	2066	1138	1441	834	1136	1741	1522	1092	1380	826	843
CR_01360W_A	123	279	301	258	92	101	262	101	238	201	74	146	71	85	182	287	71	102
CR_01370C_A	2159	5870	2234	2754	707	1396	2919	5525	2265	3147	720	1505	3061	3993	1918	3491	537	1264
CR_01380W_A	790	1586	499	353	332	455	1166	1322	371	511	286	568	1164	1154	544	408	374	439
CR_01390W_A	2004	5001	2135	2521	431	754	2253	6024	2002	3306	514	1060	2726	4533	2232	3458	412	926
CR_01400W_A	17309	40439	1080	434	1272	1632	21306	40610	1031	799	1319	2470	18815	29101	1065	648	1463	2166
CR_01410C_A	248	1531	350	301	404	983	620	650	387	504	432	962	650	574	405	659	314	837
CR_01420W_A	755	2231	1002	1789	423	599	1505	1287	735	2739	288	595	1111	1041	1013	2128	502	470
CR_01430W_A	190	341	414	477	308	335	312	362	467	366	406	585	242	280	352	480	310	529
CR_01440C_A	6227	5225	985	3958	653	215	4365	15954	1273	4510	692	1365	3431	3511	1010	5961	808	1043
CR_01460C_A	4	3	4	8	4	0	2	5	4	6	3	1	10	17	6	6	1	0
CR_01470W_A	5819	5442	2116	951	1148	83	4701	10990	1921	1689	871	148	12650	12804	2327	1398	909	150
CR_01480W_A	1132	1438	1019	607	349	460	1155	1946	844	735	278	559	1298	1304	769	688	289	413
CR_01490C_A	7807	6967	1981	1551	1805	1915	8498	8742	1695	1735	1916	2832	6669	4687	1461	1878	1814	2035
CR_01500W_A	1547	2453	965	1199	413	468	2145	2756	668	1622	235	556	1827	2055	997	1256	449	469
CR_01510C_A	13	124	49	123	13	30	41	45	40	144	10	28	31	64	44	143	9	17
CR_01520W_A	4899	11988	6212	9697	1884	2916	7306	10007	5469	14225	1687	3665	7357	7379	5592	13294	2237	2521
CR_01530C_A	5	25	2	4	1	5	11	11	1	1	0	3	5	20	2	2	1	0
CR_01540W_A	728	1789	825	1019	268	266	1229	1216	618	1127	135	354	709	865	567	894	227	262
CR_01550C_A	321	669	310	180	199	336	506	467	255	226	198	360	427	385	280	273	196	328
CR_01560W_A	176	197	267	145	110	138	186	259	246	132	101	179	221	245	184	206	104	154
CR_01570W_A	383	823	346	344	211	339	526	651	271	401	200	360	541	594	240	417	185	272
CR_01580C_A	1003	3130	1071	2240	364	596	1683	2564	845	2996	319	637	1768	2007	1131	2656	407	563
CR_01590C_A	3569	6629	1118	1108	1346	2249	4859	6743	999	1292	1244	2722	3381	3985	882	1284	1237	1952
CR_01600C_A	271	1001	335	546	88	217	439	695	271	802	87	193	626	729	387	629	106	166
CR_01610C_A	2828	2875	1044	662	1155	1203	3270	3908	870	799	1286	1638	3191	2521	966	846	1458	1220
CR_01620C_A	12603	43402	5889	3285	11300	12934	24527	33246	4376	4910	18224	21597	17623	18532	5185	3825	21144	21565
CR_01630C_A	24	142	112	109	70	37	64	65	88	120	81	103	74	75	114	130	131	109
CR_01640C_A	13	79	65	56	50	37	54	37	48	66	61	49	43	45	54	84	80	51
CR_01650W_A	1200	2962	492	432	493	1026	1627	2497	453	635	647	1160	1581	1854	472	686	492	967
CR_01660C_A	1246	2422	1083	1580	620	624	2018	2263	915	1678	567	836	1669	1647	980	1769	566	710
CR_01670W_A	259	469	467	787	185	170	425	465	430	866	160	244	302	317	476	811	169	200
CR_01680C_A	3425	6011	2909	5485	1653	1710	5185	5347	2302	6532	1732	2461	4218	3574	3289	5534	2280	1859
CR_01690C_A	13530	28252	4174	5004	3618	6350	19012	27046	3393	6620	3501	7790	17188	17684	4051	5105	4647	6438
CR_01700C_A	623	2267	984	546	409	809	1191	1082	826	769	374	849	1016	1050	841	758	463	674
CR_01710W_A	247	970	577	647	205	522	448	680	495	765	162	532	585	642	283	1207	206	351
CR_01720W_A	452	469	1700	1334	500	327	524	693	1177	1579	349	486	829	723	1430	1358	591	287
CR_01730W_A	1655	1600	1629	1351	693	307	1910	2493	939	1998	305	386	1758	1692	1361	1326	541	262
CR_01740W_A	1303	2219	642	907	103	836	1319	2540	686	811	199	631	1590	2119	528	786	70	854
CR_01750C_A	4029	5389	3150	3148	1548	2138	4964	5247	2649	3384	1386	2591	4277	3566	2671	3414	1425	1711
CR_01760C_A	7487	16625	2744	3072	2748	4419	11069	14379	2316	4145	3065	5106	9616	10028	2519	3802	2997	4411
CR_01770C_A	2355	2661	1566	2023	876	830	2318	3151	1169	2393	583	1135	2520	2300	1315	1681	969	731
CR_01780W_A	373	1889	451	559	283	662	805	850	414	925	338	715	698	662	472	1014	300	591
CR_01790C_A	370	572	534	614	204	160	505	593	394	845	99	200	531	480	529	658	199	137
CR_01800C_A	234	378	392	422	125	112	334	411	297	592	95	137	328	296	369	410	158	105
CR_01810C_A	39	37	41	25	14	37	24	48	21	39	13	23	57	82	35	20	17	25
CR_01820W_A	2083	3704	1501	1644	700	1020	2553	3940	1106	1903	537	1155	3023	3423	1196	1359	693	847
CR_01830C_A	7	8	4	4	1	2	8	2	6	3	1	1	10	6	1	1	1	3
CR_01870C_A	19	8	8	6	5	3	7	16	4	5	7	4	4	16	1	3	2	3
CR_01900C_A	127	140	302	413	37	22	97	257	243	542	29	35	138	177	255	550	26	24
CR_01910C_A	67	37	85	20	65	24	110	21	84	38	47	25	26	18	75	40	54	23
CR_01920W_A	11	23	16	4	2	4	38	6	12	2	10	2	16	6	22	6	7	2
CR_01930C_A	256	255	58	48	5	29	265	269	63	80	7	25	238	195	120	57	6	45
CR_01950W_A	1164	4442	1238	1718	757	1688	2151	2542	1233	2317	1008	1858	1876	1738	1088	2469	822	1592
CR_01960C_A	393	716	399	386	135	174	449	810	381	432	153	234	532	555	350	429	154	147
CR_01970C_A	3161	5492	2358	1393	1948	1751	4570	5037	2155	1348	2123	2549	4384	4237	1761	1778	1864	2022
CR_01980C_A	620	877	3150	2320	392	458	900	1214	2421	2868	281	480	1100	1166	2704	2727	299	371
CR_01990C_A	422	1166	447	370	225	263	897	493	450	367	238	278	258	299	380	417	225	247
CR_02000C_A	2156	4269	3045	3762	801	798	2112	5336	2480	5645	685	1281	2673	2944	3279	4982	954	957
CR_02020C_A	82	127	311	258	84	46	152	93	252	447	34	50	132	92	326	487	59	38
CR_02030C_A	293	1368	832	1037	312	527	571	672	721	1463	310	541	638	655	764	1706	383	424
CR_02040W_A	2290	2512	1878	1861	1064	836	2456	2886	1365	2362	656	1205	2323	1951	1827	1960	1051	802
CR_02050C_A	1738	4035	2006	2771	720	1099	2905	2917	1533	3741	407	1207	1650	2221	1895	3239	642	798
CR_02060W_A	935	830	160	222	195	365	923	1605	129	251	128	357	508	567	136	251	159	262
CR_02070C_A	40904	48929	19492	28579	4399	2376	31498	63120	22298	32456	4145	6101	33865	34445	16577	34485	5806	3267
CR_02090C_A	1569	3362	1426	2640	719	949	2383	3116	987	3559	754	1184	2041	2288	1275	2907	827	942
CR_02100C_A	448	981	431	372	169	193	534	1203	401	407	211	265	397	546	359	524	164	200
CR_02110W_A	2733	7475	2562	1484	885	1039	3745	6394	2165	2015	880	1321	2371	3562	1769	1457	1036	1158
CR_02120C_A	311	443	455	599	156	227	373	691	419	551	176	250	461	334	313	616	185	195
CR_02130W_A	3023	2457	2715	1136	1580	1115	2873	5151	2224	1691	1673	1335	5628	4709	2423	1778	1641	1109
CR_02140W_A	2556	3824	4333	2521	1553	1237	4017	2987	4175	2295	1604	2026	1775	1659	2516	4033	1806	1239
CR_02150W_A	1751	2002	1458	1558	774	654	1791	2502	1041	1474	524	900	1540	1463	1213	1160	838	585
CR_02160W_A	417	584	911	707	351	395	557	741	538	1139	223	384	774	767	1115	766	411	334
CR_02170W_A	1690	3106	1325	2399	850	1648	1799	6162	1085	2709	1175	2196	1941	2921	1046	2550	1015	1801
CR_02180W_A	87	204	108	165	50	87	123	131	89	153	71	141	126	197	116	160	58	164
CR_02190C_A	2859	10270	4601	7936	1173	1135	6277	5014	3099	14024	647	1607	3854	4173	6384	11921	1260	1376
CR_02200C_A	1210	6277	1222	635	945	841	3654	1653	1003	875	918	1182	583	1019	944	965	1075	740
CR_02210W_A	1288	2328	3871	4292	455	658	2369	1765	2611	7063	235	711	1318	1320	4725	6345	585	557
CR_02220C_A	151	281	769	1327	49	67	179	268	637	1473	33	62	285	320	734	1396	52	36
CR_02230W_A	0	1	2	3	0	0	1	0	2	8	0	0	0	4	4	3	0	1
CR_02240C_A	22	28	273	525	11	8	32	43	342	375	3	12	29	48	232	318	9	7
CR_02250C_A	1449	2161	906	599	600	567	2001	1539	723	781	497	739	1161	1000	799	609	514	549
CR_02260C_A	269	389	190	171	93	86	305	671	146	181	77	95	415	482	187	172	116	81
CR_02270C_A	118	168	167	702	67	56	112	286	157	446	56	74	183	235	134	525	55	63
CR_02280W_A	22	18	571	112	37	32	85	11	274	209	16	26	46	23	206	196	65	6
CR_02290W_A	1	0	1	1	3	0	6	5	2	3	4	2	0	2	2	0	0	1
CR_02300C_A	1513	2744	1469	2696	607	420	2244	2467	1157	2930	502	767	1478	1242	1354	2497	708	592
CR_02330C_A	329	576	215	285	107	143	432	1002	234	373	133	185	668	482	211	489	73	164
CR_02340W_A	1	5	38	16	10	1	1	3	22	34	4	3	4	3	74	13	14	1
CR_02350C_A	1060	1181	1332	2441	283	198	1415	2006	851	3187	250	356	936	726	1564	1867	360	287
CR_02360W_A	1303	1053	7191	10843	70	310	651	3848	5940	9938	127	238	1611	1370	5464	5390	54	196
CR_02370W_A	2176	5786	2513	5606	618	1058	4597	3351	2829	6485	773	1115	1999	1585	2630	6640	668	1035
CR_02380C_A	361	494	402	280	195	202	508	565	333	340	283	335	447	394	338	301	257	255
CR_02390W_A	949	1284	1593	1945	450	441	1295	1745	1155	2361	450	632	1259	1132	1670	1553	812	499
CR_02400W_A	7	15	10	11	4	9	22	7	5	20	15	16	14	16	12	13	8	11
CR_02410W_A	683	1066	754	626	270	267	809	1284	549	711	155	359	891	965	572	467	296	248
CR_02420W_A	520	2111	965	1001	497	824	1089	1330	877	1172	479	923	1060	999	761	1547	585	820
CR_02430C_A	1969	4647	205	438	667	1017	2885	3963	187	693	823	1202	3014	2889	243	526	845	1031
CR_02440W_A	73	198	43	63	41	61	120	120	43	98	39	45	110	116	48	76	32	46
CR_02460W_A	583	1141	791	1429	261	303	746	968	623	1819	169	437	695	756	765	1807	240	232
CR_02480W_A	0	1	1	4	0	0	1	0	0	7	0	0	1	1	1	2	0	0
CR_02490W_A	124	146	3142	6507	38	66	177	88	2203	6001	26	40	182	129	2556	4433	32	30
CR_02500W_A	346	934	729	589	235	166	742	442	603	677	168	257	207	250	651	634	229	176
CR_02510W_A	487	1051	663	3208	141	184	654	1575	478	3906	74	248	1138	1621	773	4087	199	226
CR_02520W_A	550	2657	692	1259	406	1194	1107	1522	878	1739	588	1219	1116	1143	704	1993	406	1229
CR_02530W_A	2901	9623	5659	12245	1508	4564	7499	5534	4839	23902	1808	4527	6091	3121	8797	19817	3044	5055
CR_02540W_A	1511	2594	2166	2121	644	981	1905	2518	1707	2987	733	1091	1931	2009	2296	2337	845	773
CR_02550C_A	552	1526	670	892	322	740	803	1048	699	1206	365	794	831	844	611	1468	308	597
CR_02560C_A	366	1212	552	1624	182	264	715	981	346	2374	110	302	692	975	610	1836	162	254
CR_02570C_A	175	194	211	341	95	44	159	453	171	271	84	134	299	246	155	273	101	81
CR_02580W_A	568	1439	855	1187	210	358	744	1359	797	1457	196	454	794	946	780	1533	168	363
CR_02590C_A	392	862	408	528	161	267	651	652	313	687	119	307	597	631	430	499	216	231
CR_02600W_A	56	131	89	75	47	49	76	114	88	78	28	68	94	87	67	86	25	43
CR_02610C_A	1684	3973	1745	1361	1092	1602	2498	2927	1429	1552	875	1930	2375	2485	1265	1751	1237	1445
CR_02620C_A	1278	2301	787	1422	138	1004	1182	3160	845	1126	255	591	1578	2293	648	1040	99	861
CR_02630C_A	230	254	80	71	64	89	255	200	90	66	84	106	203	147	97	66	71	109
CR_02640W_A	2497	1384	582	1389	726	450	4200	1240	412	1872	512	533	3512	788	765	1102	901	337
CR_02650C_A	821	1626	3787	10685	249	550	1083	1669	4529	7744	213	410	1264	1165	2887	9665	225	405
CR_02670C_A	507	970	468	673	128	144	731	835	319	852	70	192	620	543	361	810	168	129
CR_02680W_A	224	577	207	181	100	141	421	316	129	267	48	178	265	295	169	214	103	118
CR_02690W_A	408	560	379	158	222	198	478	566	304	198	210	334	473	486	329	224	230	270
CR_02700W_A	257	810	322	298	245	415	446	611	327	333	395	454	458	402	290	499	309	410
CR_02710W_A	993	4671	1208	2143	521	1478	2046	2726	970	3342	537	1351	2180	2165	1225	3217	653	1287
CR_02720C_A	851	2764	758	637	505	1146	1477	1849	580	1021	353	1228	1433	1501	580	890	578	1006
CR_02740W_A	281	593	653	1234	304	396	513	422	476	1267	280	543	341	457	561	1596	307	381
CR_02750C_A	1	1	1089	723	77	156	3	1	862	711	86	157	0	1	845	1126	42	125
CR_02760C_A	541	785	1001	1352	288	329	592	928	860	1350	217	453	684	674	706	1375	285	329
CR_02770C_A	658	1045	258	157	259	385	844	953	190	232	209	444	847	873	273	213	280	370
CR_02780W_A	22	27	14	14	11	5	28	31	11	37	15	10	48	28	26	23	14	10
CR_02790C_A	297	482	318	159	189	193	533	395	261	120	243	227	346	283	158	191	255	199
CR_02800C_A	88	57	284	360	69	35	56	126	220	384	49	62	170	171	288	274	80	45
CR_02810W_A	117	136	297	418	85	31	95	173	275	367	88	108	310	303	162	383	128	86
CR_02820W_A	4127	3345	6150	3787	2598	2130	3717	4453	5744	5501	2852	2927	5841	5317	5133	5116	2989	2020
CR_02850C_A	2297	5092	3742	5962	464	701	3518	3598	2895	8849	293	639	4550	3239	3918	8100	514	556
CR_02860W_A	8345	14909	6080	5535	3069	3882	12995	11345	5164	6788	3458	5197	9934	7606	5613	6126	3993	3994
CR_02870W_A	2259	2986	774	564	684	675	3040	2576	536	749	424	856	1955	1693	732	528	705	544
CR_02880W_A	103	58	8	6	36	24	78	181	17	26	46	15	202	162	13	15	43	15
CR_02890C_A	758	2272	847	1479	410	943	1219	1771	756	1930	441	989	1113	1224	813	2025	352	866
CR_02910W_A	478	519	1128	1866	256	178	602	746	703	2325	141	197	512	456	1202	1983	381	162
CR_02920C_A	127	1178	59	263	3	7	58	2414	63	437	4	5	604	3183	104	366	6	7
CR_02930W_A	1354	3128	1895	1313	711	923	2150	2317	1250	1927	424	1148	1989	2464	1577	1337	822	926
CR_02940C_A	195	449	21	83	16	103	265	544	24	111	21	77	315	351	17	51	10	93
CR_02950C_A	1106	2658	1116	1425	341	692	1475	2759	1085	1479	468	820	1475	1702	935	1647	349	798
CR_02960W_A	84	110	194	287	43	46	108	149	174	288	29	85	141	140	174	296	61	57
CR_02970C_A	1648	3304	1642	2124	818	984	2371	2892	1239	2743	585	1285	2171	2057	1498	2264	920	933
CR_02980C_A	1215	5810	1826	3788	747	2024	2652	2500	1461	5562	506	1561	2152	2686	1535	5717	564	1222
CR_02990C_A	995	1208	4852	3602	945	307	1135	1793	3309	4180	460	556	1159	1135	4656	4074	789	331
CR_03000C_A	503	241	368	102	277	135	463	413	294	193	266	196	682	439	318	166	263	131
CR_03010C_A	494	726	612	435	164	171	508	863	511	455	141	231	613	703	451	450	144	172
CR_03020C_A	580	1095	709	378	515	602	1442	326	549	477	474	772	358	364	490	482	441	477
CR_03030C_A	38057	79640	9116	15338	12915	23133	52128	73274	9862	19153	17937	29835	51201	52049	9440	17982	13321	24713
CR_03040C_A	652	501	644	213	668	216	792	577	510	382	467	318	1384	752	591	361	685	174
CR_03050C_A	570	1271	870	1133	298	316	879	1148	603	1407	207	476	821	822	711	1167	317	312
CR_03060W_A	4856	11751	1951	2057	1794	3174	7590	8986	1534	3244	1757	3267	7185	7611	1755	2681	1850	2806
CR_03070W_A	575	1005	339	432	143	473	635	1182	390	494	175	500	962	1123	327	421	133	424
CR_03080C_A	273	580	351	360	80	164	314	508	325	366	91	220	336	383	274	409	55	139
CR_03090C_A	2933	2635	1195	565	1232	1776	3988	2573	1268	551	1688	1991	2023	1460	907	852	1100	1713
CR_03100W_A	1675	5314	1078	467	467	397	3278	2534	695	657	451	532	1289	1581	644	501	636	452
CR_03110W_A	582	1417	783	762	207	445	617	1673	683	888	225	419	917	1249	610	729	225	287
CR_03120W_A	528	1242	795	1604	233	282	495	1191	763	1603	167	377	619	1189	873	1686	201	330
CR_03130W_A	263	317	381	313	202	141	360	350	313	326	166	207	329	312	347	337	204	145
CR_03140C_A	171	234	333	498	149	79	241	278	323	564	146	145	215	176	286	535	163	117
CR_03150W_A	1143	1782	1540	1684	516	499	1341	1788	1105	2118	283	695	1583	1615	1353	1695	533	509
CR_03160W_A	163	376	166	311	89	189	236	279	171	370	76	193	234	223	174	441	64	199
CR_03170W_A	7036	13576	3007	2575	3408	4662	9486	12178	2642	3281	3648	5983	10770	11127	2461	2973	3643	4602
CR_03180W_A	494	880	749	576	303	435	733	832	673	654	284	555	588	688	517	734	232	390
CR_03200C_A	524	1830	661	630	386	676	817	1080	465	1046	283	711	1013	1017	723	955	384	628
CR_03210C_A	449	714	557	777	242	303	578	806	529	792	276	419	506	504	506	961	258	306
CR_03220C_A	122	132	259	124	119	55	164	135	204	140	77	89	161	132	222	163	126	66
CR_03230W_A	610	1159	537	525	258	416	756	1501	375	810	213	440	909	856	430	563	391	333
CR_03240C_A	575	855	470	374	229	354	633	747	403	421	181	375	646	756	357	343	220	304
CR_03250C_A	179	602	524	2222	70	118	327	481	339	2495	59	188	253	448	665	2512	76	149
CR_03260W_A	159	168	341	1443	105	83	163	287	353	1454	153	176	173	201	393	1321	162	119
CR_03270W_A	453	280	185	1659	217	148	575	270	111	2021	189	127	424	206	279	1217	232	109
CR_03280W_A	2216	2999	1081	1034	2139	1105	2638	3843	849	1074	1630	1742	2693	2473	1180	887	1905	1366
CR_03290C_A	10	14	7	11	3	2	16	16	11	30	2	4	16	11	7	17	2	7
CR_03300C_A	18	13	4	10	0	0	16	23	6	19	2	1	15	19	18	1	0	0
CR_03310C_A	232	506	498	670	114	234	348	590	423	778	158	268	414	374	351	913	177	195
CR_03320C_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR_03330W_A	388	559	344	290	195	171	433	716	251	309	129	250	447	475	265	282	218	165
CR_03340C_A	284	1086	281	162	150	154	542	560	218	195	190	251	284	386	221	195	196	191
CR_03350C_A	1042	2783	1118	1150	378	848	1437	2301	978	1563	448	884	1404	1648	936	1468	354	655
CR_03360W_A	524	1833	1090	1755	416	987	945	1131	1070	1918	422	979	1001	936	727	2604	404	671
CR_03370C_A	385	1514	521	610	300	647	767	726	483	1013	294	664	694	620	472	1043	267	485
CR_03380W_A	314	1087	524	721	150	301	563	692	482	1016	173	291	598	645	485	1013	154	234
CR_03390C_A	616	910	260	147	218	131	826	915	232	207	178	256	520	492	266	225	259	183
CR_03400W_A	1683	4716	1051	657	406	649	2099	4252	766	870	339	733	1866	2812	844	572	409	484
CR_03410W_A	306	460	372	712	147	206	408	379	300	693	120	260	307	375	363	590	141	201
CR_03420C_A	1986	3314	2419	2383	937	979	2702	3632	1947	2702	745	1112	2714	2512	2228	2496	1010	765
CR_03430W_A	371	957	293	374	217	280	581	807	312	403	267	410	578	581	268	387	226	361
CR_03440W_A	24	54	54	43	22	21	35	72	52	56	29	28	31	25	53	48	31	26
CR_03450W_A	94	45	54	78	34	6	91	114	49	94	16	7	267	110	58	100	52	1
CR_03460W_A	645	1112	673	950	269	298	767	1428	642	947	212	450	766	960	517	1006	224	305
CR_03470W_A	2189	7145	894	752	301	211	2556	10570	733	830	284	440	2022	4460	623	602	354	364
CR_03480W_A	24	38	83	37	18	14	38	19	53	44	12	25	20	16	67	35	20	12
CR_03490W_A	302	763	580	229	187	180	563	504	427	357	199	193	460	397	459	240	234	182
CR_03500W_A	1460	5585	36482	25988	1750	2299	2706	4957	20348	37749	1441	1898	2861	4776	42795	31501	1472	1427
CR_03510W_A	4	14	9	5	5	2	13	17	4	2	5	3	16	4	6	6	3	8
CR_03520C_A	2680	3417	1423	834	1243	990	3081	4250	1042	1059	1103	1466	3282	2937	1233	812	1546	997
CR_03530W_A	4924	10040	2748	2135	1597	1866	7311	9294	1870	3350	1165	1736	8289	7989	2909	2364	1601	1537
CR_03540W_A	314	792	432	521	206	294	516	705	395	711	195	366	481	501	424	918	218	277
CR_03550W_A	481	2194	870	1534	378	904	971	1231	836	2344	410	973	977	987	887	2578	326	746
CR_03560W_A	283	454	288	200	161	140	494	383	208	295	128	172	403	376	278	248	177	102
CR_03570C_A	237	1183	317	398	187	487	475	650	314	614	253	447	517	479	334	693	214	375
CR_03580C_A	39	14	18	24	11	1	28	43	19	38	3	7	66	31	15	25	10	1
CR_03590C_A	28	35	51	34	14	20	30	63	38	64	33	30	43	36	44	54	22	26
CR_03600C_A	1997	2132	672	737	655	728	2225	2527	687	650	822	1013	1642	1404	626	804	637	862
CR_03610C_A	1936	3697	2181	2205	983	1305	3190	2663	1647	2678	1306	2032	2996	2279	2254	2291	1555	1778
CR_03620C_A	554	644	357	185	179	134	470	838	243	349	139	160	774	904	367	275	222	109
CR_03630W_A	343	507	211	170	135	207	449	526	121	226	107	245	411	396	154	199	149	154
CR_03640C_A	846	1500	1021	1466	323	473	1082	1968	837	1503	307	584	1164	1148	797	1550	368	388
CR_03650W_A	940	4344	1549	2578	659	1947	1811	2543	1315	3259	707	2052	2118	2301	1364	3527	854	1575
CR_03660C_A	181	789	295	480	24	248	269	639	314	522	49	144	407	561	255	486	13	193
CR_03670W_A	3	1	8	0	2	0	0	1	3	7	1	2	2	2	5	4	0	1
CR_03680C_A	2128	7019	1263	586	577	502	4577	3335	870	731	511	688	1386	1953	756	501	735	568
CR_03690W_A	431	401	1840	1353	796	144	395	609	1194	1657	496	255	535	394	2226	1300	1194	173
CR_03700C_A	615	1510	964	1241	354	356	1319	996	618	1569	254	434	936	784	890	1106	415	353
CR_03710C_A	113	149	462	510	76	96	145	237	335	434	82	122	162	195	338	458	69	80
CR_03720W_A	7786	12173	6510	2385	11043	9127	11892	10196	5098	3186	10142	13620	16233	16193	5356	3947	12172	10206
CR_03730C_A	184	239	624	1976	71	52	184	440	549	2139	80	84	254	346	846	2212	95	77
CR_03740C_A	582	1050	507	708	206	389	731	1440	523	733	301	445	832	794	440	817	229	416
